Library,Species,Common.name,Order,Genus,Num.indv.~,Sample.type,Body.mass,Library.reads,RPS13,Amnoonviridae,Arenaviridae,Astroviridae,Peribunyaviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Iridoviridae,Orthomyxoviridae,Nackednaviridae,Parvoviridae,Picornaviridae,Poxviridae,Spinareoviridae,Sedoreoviridae,Reovirales,Rhabdoviridae,Totiviridae,Total.virome
CHW_L,Chionobathyscus dewitti,Icefish spp.,Perciformes,Chionobathyscus,21,Gill tissue,Low,86222956,79.94077586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220358949,0,0,0,0,0,0,6.127486513
CHW_H,Chionobathyscus dewitti,Icefish spp.,Perciformes,Chionobathyscus,19,Gill tissue,High,76624174,65.5666448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02650315
QMC_L,Macrourus caml,Caml grenadier,"	Gadiformes",Macrourus,23,Gill tissue,Low,96019607,42.55932853,0,0,0.041658158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.050651499
QMC_H,Macrourus caml,Caml grenadier,"	Gadiformes",Macrourus,18,Gill tissue,High,99852912,56.32975431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454839895,0,0,4.923942529
WGR_L,Macrourus whitsoni,Whitson's grenadier,"	Gadiformes",Macrourus,18,Gill tissue,Low,92928359,42.37274867,0,0,0.021521955,0,0,0,0,0,0,0,0,0,0,0,0.204458577,0,0,0,0,0,0,46.35581696
WGR_H,Macrourus whitsoni,Whitson's grenadier,"	Gadiformes",Macrourus,20,Gill tissue,High,89127884,70.07862994,0,0,0,0,1.481017994,0,0,0.190737166,0,0,0.157077666,0,0,0,0,0,0,0,0,0,0,4.513290139
ANT_L,Antimora rostrata,Blue antimora,"	Gadiformes",Antimora,12,Gill tissue,Low,89220713,76.56910341,0,0,0,0,0,0,0,0,0,0,0,0.425910069,0,0.936441743,0,0,0,0,0,0,0,1.541682367
ANT_H,Antimora rostrata,Blue antimora,"	Gadiformes",Antimora,11,Gill tissue,High,61877725,77.31069622,0,0,0,0,0.14544814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355539897
TLO_L,Trematomus loennbergii,Scaly rockcod,Perciformes,Trematomus,10,Gill tissue,Low,76752719,31.55705793,0,221.861847,0,0,0,0,0,0,0.20846167,0,0,0,0,0,0,0,0,0,0,0,0,235.9911184
TLO_H,Trematomus loennbergii,Scaly rockcod,Perciformes,Trematomus,7,Gill tissue,High,83378864,49.13715303,0,0,0,0.179901707,0,0.095947577,0.179901707,0,0,0,0,0,4.245680296,0,0.527711675,0,0,0,0,0.131927919,0,23.36695304
BVK_L,Pogonophryne barsukovi,Stubbeard plunderfish,Perciformes,Pogonophryne,7,Gill tissue,Low,88146328,63.32708494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4416184
BVK_H,Pogonophryne barsukovi,Stubbeard plunderfish,Perciformes,Pogonophryne,7,Gill tissue,High,80691052,49.75768565,0,0,0,0,0,0,0,5.514861797,0,0,0,0,0,0,0,0,0,0,0,0,0.260251905,614.9442692
