Library,Species,Common.name,Order,Genus,Num.indv.~,Sample.type,Body.mass,Library.reads,RPS13,Amnoonviridae,Arenaviridae,Astroviridae,Peribunyaviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Iridoviridae,Orthomyxoviridae,Nackednaviridae,Parvoviridae,Picornaviridae,Poxviridae,Spinareoviridae,Sedoreoviridae,Reovirales,Rhabdoviridae,Totiviridae,Total.virome
CHW_L,Chionobathyscus dewitti,Icefish spp.,Perciformes,Chionobathyscus,21,Gill tissue,Low,86222956,7.99E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E-07,0,0,0,0,0,0,6.13E-06
CHW_H,Chionobathyscus dewitti,Icefish spp.,Perciformes,Chionobathyscus,19,Gill tissue,High,76624174,6.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03E-06
QMC_L,Macrourus caml,Caml grenadier,"	Gadiformes",Macrourus,23,Gill tissue,Low,96019607,4.26E-05,0,0,4.17E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05E-06
QMC_H,Macrourus caml,Caml grenadier,"	Gadiformes",Macrourus,18,Gill tissue,High,99852912,5.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-06,0,0,4.92E-06
WGR_L,Macrourus whitsoni,Whitson's grenadier,"	Gadiformes",Macrourus,18,Gill tissue,Low,92928359,4.24E-05,0,0,2.15E-08,0,0,0,0,0,0,0,0,0,0,0,2.04E-07,0,0,0,0,0,0,4.64E-05
WGR_H,Macrourus whitsoni,Whitson's grenadier,"	Gadiformes",Macrourus,20,Gill tissue,High,89127884,7.01E-05,0,0,0,0,1.48E-06,0,0,1.91E-07,0,0,1.57E-07,0,0,0,0,0,0,0,0,0,0,4.51E-06
ANT_L,Antimora rostrata,Blue antimora,"	Gadiformes",Antimora,12,Gill tissue,Low,89220713,7.66E-05,0,0,0,0,0,0,0,0,0,0,0,4.26E-07,0,9.36E-07,0,0,0,0,0,0,0,1.54E-06
ANT_H,Antimora rostrata,Blue antimora,"	Gadiformes",Antimora,11,Gill tissue,High,61877725,7.73E-05,0,0,0,0,1.45E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56E-07
TLO_L,Trematomus loennbergii,Scaly rockcod,Perciformes,Trematomus,10,Gill tissue,Low,76752719,3.16E-05,0,0.000221862,0,0,0,0,0,0,2.08E-07,0,0,0,0,0,0,0,0,0,0,0,0,0.000235991
TLO_H,Trematomus loennbergii,Scaly rockcod,Perciformes,Trematomus,7,Gill tissue,High,83378864,4.91E-05,0,0,0,1.80E-07,0,9.59E-08,1.80E-07,0,0,0,0,0,4.25E-06,0,5.28E-07,0,0,0,0,1.32E-07,0,2.34E-05
